uri,title,year
https://hdl.handle.net/11245/3.1303,"Nieuwe kaart van het Oostelijk Dok voor de stad Amsterdam met de daarbij behoorende grachten, enz., aangelegd in de jaren 1829, 1830 en 1831 /",1841
https://hdl.handle.net/11245/3.1304,Aria Atoll.,1730
https://hdl.handle.net/11245/3.1309,"Nieuwe aftekening tot droogmakinge van de uytgeveende landen geleegen in Rynland Amstelland & Utrecht als Nieukoop, Sevenhoven, Nieuveen, Schoot de Graaflykheyt, Korteraar, Aarlanderveen en d' Proosdy /",1742
https://hdl.handle.net/11245/3.132,Frisia occidentalis typus.,1581
https://hdl.handle.net/11245/3.1326,"Wassende graade paskaart, vertonende alle de zeekusten van Europa, de geheele Middelandsche Zee, als oock ten Noordwesten, en Noordoosten soo veer als ons tot noch toe bekent is /",1660
https://hdl.handle.net/11245/3.1330,Tabvla Bergarum ad Zomam Stenbergæ et novorum ibi operum /,1630
https://hdl.handle.net/11245/3.1331,Afbeeldingh vande Zype /,1664
https://hdl.handle.net/11245/3.1335,To the citizens of Philadelphia this plan of the city and its environs is respectfully dedicated by the editor /,1800
https://hdl.handle.net/11245/3.1338,"Carte particuliere d'une partie du Brabant Hollandois, du Gueldre et de Cleves ou les environs de Grave, Ravestein, Helmont, Nimégue, Fort de Schenk, Cleves, Gennip, Emmerick &c.",1748
https://hdl.handle.net/11245/3.1348,Plan der gronden aan de Zuid zijde van de gemeente Amsterdam /,1885
https://hdl.handle.net/11245/3.135,Afbeeldingh van 't oost-ent van Vlielant alsmede van 't westent van der Schelling [Terschelling] ende de wijte van 't Vlie /,1676
https://hdl.handle.net/11245/3.1370,"Tabula Frisiae, Groninghae, et territory Embdensis nec non circumjacentium regionum puta Transisalaniae, Benthemiae, Westphaliae, et Oldenburgi /",1642
https://hdl.handle.net/11245/3.1371,Typus orbis terrarum /,1570
https://hdl.handle.net/11245/3.1380,Totius Europae littora novissimè edita = Pascaert vertoonende alle de see-custen van Europa.,1675
https://hdl.handle.net/11245/3.1394,Middelburgum Selandiae opp. situ opere et mercimonijs florentiss.,1609
https://hdl.handle.net/11245/3.1413,"Groot toneel des tegenwoordigen oorlogs in verscheiden gewesten van Duitschland, Frankryk en de Nederlanden : bĳzonder langs de rivieren Rhyn, Moesel en Saar, - Maas en Sambre, - Schelde, Scarpe, Deule, Lĳe enz. vertoonende deeze landkaart teffens onze geheele Republiek in haare water-sterkte en zoo voordeelige ligging voor de commercie en navigatie door middel van alle die bevaarbaare rivieren, welke er in of naast aan uitwateren; alle welke rivieren, met de daar langs gelegene koop-steden en commercieerende landen op deeze kaart aangeweezen en in een bĳgevoegd hand-boek tot gerieflĳk en leerzaam gebruik nader beschreven zijn",1800
https://hdl.handle.net/11245/3.1414,'t Ontzet van Leyden.,1675
https://hdl.handle.net/11245/3.1420,"Nieuwe volledige platte grond van Amsterdam, benevens de ontworpen grachten, straten enz.",1873
https://hdl.handle.net/11245/3.1423,Frisia occidentalis.,1642
https://hdl.handle.net/11245/3.1428,"Rhenoberca obsessa et capta armis ordinum Belgicae Foederatae ductu ill.mi principis Mauritii Nassovii Arausionensium principis, Nassaviae comitis, etc. Anno 1601.",1649
https://hdl.handle.net/11245/3.1440,Plan and section for the lower locks at the Great Falls of Potomak.,1800
https://hdl.handle.net/11245/3.145,Hannonia.,1600
https://hdl.handle.net/11245/3.1467,Aria Atoll : A° 1728 t' Middelburg bij Abrm. Anias.,1728
https://hdl.handle.net/11245/3.1468,"Omnibus kaart, of Nieuwe platte grond der stad Amsterdam : waarop alle de omnibus liniën zijn aangetekend = Carte des omnibus, ou Nouveau plan de la ville d'Amsterdam.",1839
https://hdl.handle.net/11245/3.1478,Dvcatvs Vplandia,1640
https://hdl.handle.net/11245/3.1480,Tabula nova provinciae Ultrajectinae /,1750
https://hdl.handle.net/11245/3.1487,Evropa exactissime descripta /,1619
https://hdl.handle.net/11245/3.1498,"Wassende-graade paskaart, vertoonende nevens het Oostelyckste van Africa, meede de zeekusten van Asia, van de C. de Bona Esperanca tot Eso, boven Iapan.",1660
